"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Zeeshan A.A.","Zeeshan, Afzaal Ahmad (58527355000)","58527355000","DevSecOps for .NET core: Securing modern software applications","2020","DevSecOps for .NET Core: Securing Modern Software Applications","","","","1","284","283","2","10.1007/978-1-4842-5850-7","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-85167335826&doi=10.1007%2f978-1-4842-5850-7&partnerID=40&md5=650e48ca449a12b301c402c85dcfd88f","Book","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85167335826"
"Feng H.; Li J.; Chen S.; An Y.; Zeng Z.; Jin S.","Feng, Hao (35242210000); Li, Jian (56414388700); Chen, Shili (7410249901); An, Yang (36092510400); Zeng, Zhoumo (7402647223); Jin, Shijiu (7401822907)","35242210000; 56414388700; 7410249901; 36092510400; 7402647223; 7401822907","Positioning method for pipeline security pre-warning system based on the third-order cumulant algorithm","2013","2013 IEEE/ASME International Conference on Advanced Intelligent Mechatronics: Mechatronics for Human Wellbeing, AIM 2013","","","6584320","1576","1578","2","0","10.1109/AIM.2013.6584320","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-84883669180&doi=10.1109%2fAIM.2013.6584320&partnerID=40&md5=fe5435a9a79ff2da95b48767ca7c6d8e","Conference paper","Final","","Scopus","2-s2.0-84883669180"
"Talele H.","Talele, Harshal (59515336800)","59515336800","Analysis of Back-Scattered Laser Signal in Oil and Gas Pipelines","2024","Society of Petroleum Engineers - ADIPEC 2024","","","","","","","0","10.2118/222689-MS","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-85215120892&doi=10.2118%2f222689-MS&partnerID=40&md5=2fca11a7e77ab3aa606885c5d1e23bd8","Conference paper","Final","","Scopus","2-s2.0-85215120892"
"Wen J.; Wang T.; Sun J.; Fu L.; Li G.; Yang W.","Wen, Jiangtao (57204699056); Wang, Tao (59876968700); Sun, Jiedi (9232803200); Fu, Lei (57211682785); Li, Gang (57205753298); Yang, Wenming (57212396898)","57204699056; 59876968700; 9232803200; 57211682785; 57205753298; 57212396898","Perimeter intrusion event identification of oil and gas pipelines under complex conditions based on deep transfer learning; [基于深度迁移学习的复杂环境下油气管道周界入侵事件识别]","2019","Yi Qi Yi Biao Xue Bao/Chinese Journal of Scientific Instrument","40","8","","12","19","7","7","10.19650/j.cnki.cjsi.J1905241","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-85074824606&doi=10.19650%2fj.cnki.cjsi.J1905241&partnerID=40&md5=de01f3c90430bb40a7cd2727be1a23ad","Article","Final","","Scopus","2-s2.0-85074824606"
"Gong L.; Zhang J.","Gong, Lingjun (57190177098); Zhang, Jihai (7601357424)","57190177098; 7601357424","System-dynamics-based emergency transportation strategy analysis for oil products","2017","Xitong Gongcheng Lilun yu Shijian/System Engineering Theory and Practice","37","9","","2256","2267","11","10","10.12011/1000-6788(2017)09-2256-12","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-85039808955&doi=10.12011%2f1000-6788%282017%2909-2256-12&partnerID=40&md5=638ec6255c4b2fcb396a217f624dfd41","Article","Final","","Scopus","2-s2.0-85039808955"
"Zhou N.; Xu S.; Liu X.; Wang K.; Zhao H.","Zhou, Ning (57204429651); Xu, Shihui (55649693400); Liu, Xuanya (55234105100); Wang, Kaiquan (55501561600); Zhao, Huijun (55715806100)","57204429651; 55649693400; 55234105100; 55501561600; 55715806100","Risk information management system of city gas line based on gis","2013","ICPTT 2012: Better Pipeline Infrastructure for a Better Life - Proceedings of the International Conference on Pipelines and Trenchless Technology 2012","","","","298","309","11","1","10.1061/9780784412619.034","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-84876145305&doi=10.1061%2f9780784412619.034&partnerID=40&md5=446b551bb915597e381ec976ac9ac23f","Conference paper","Final","","Scopus","2-s2.0-84876145305"
"","","","2023 Cyber Research Conference - Ireland, Cyber-RCI 2023","2023","2023 Cyber Research Conference - Ireland, Cyber-RCI 2023","","","","","","120","0","","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-85206099970&partnerID=40&md5=d23e0317101b50366c53094dae94342e","Conference review","Final","","Scopus","2-s2.0-85206099970"
"Parfomak P.W.","Parfomak, Paul W. (6508081953)","6508081953","Keeping America's pipelines safe and secure: Key issues for congress","2015","Oil and Gas Transportation: Pipeline and Rail Infrastructure Issues","","","","93","140","47","0","10.1002/9781634638852.ch3","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-84956568441&doi=10.1002%2f9781634638852.ch3&partnerID=40&md5=a9936ae92525b688fb114e74dc601269","Book chapter","Final","","Scopus","2-s2.0-84956568441"
"Byres E.","Byres, Eric (55891402200)","55891402200","Defense-in-depth: Reliable security to thwart cyber-attacks","2014","Pipeline and Gas Journal","241","2","","","","3","1","","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-84897997142&partnerID=40&md5=a4789e63b2cf3bc6d3f878f60c81e84b","Article","Final","","Scopus","2-s2.0-84897997142"
"Ruan L.; He C.F.; Wu B.","Ruan, L. (55965455600); He, C.F. (55649046100); Wu, B. (56571767300)","55965455600; 55649046100; 56571767300","Modeling and simulation of pipeline security monitoring system based on ring-structure Sagnac interferometer with 3×3 coupler","2015","Structural Health Monitoring and Integrity Management - Proceeding of the 2nd International Conference of Structural Health Monitoring and Integrity Management, ICSHMIM 2014","","","","469","472","3","0","10.1201/b18510-95","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-84949870774&doi=10.1201%2fb18510-95&partnerID=40&md5=2479726fcc4fdfb449493a32002f0a0c","Conference paper","Final","","Scopus","2-s2.0-84949870774"
"Liu X.; Wang Y.; Jin B.; Ying Q.; Wang D.; Wang Y.","Liu, Xin (59740025300); Wang, Yu (56674847500); Jin, Baoquan (24465222500); Ying, Qirui (57201584975); Wang, Dong (56918728800); Wang, Yuncai (35206677900)","59740025300; 56674847500; 24465222500; 57201584975; 56918728800; 35206677900","Real-time distributed oil/gas pipeline security pre warning system based on Φ-OTDR","2017","Progress in Electromagnetics Research Symposium","2017-November","","","1717","1719","2","12","10.1109/PIERS-FALL.2017.8293412","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-85045320011&doi=10.1109%2fPIERS-FALL.2017.8293412&partnerID=40&md5=677ca93f56128820f331076b96797c49","Conference paper","Final","","Scopus","2-s2.0-85045320011"
"He C.-F.; Ruan L.; Feng H.; Wu B.","He, Cun-Fu (55649046100); Ruan, Li (55965455600); Feng, Huan (56654457200); Wu, Bin (56571767300)","55649046100; 55965455600; 56654457200; 56571767300","Experimental study on pipeline security monitoring system based on ring-structure Sagnac interferometer with 3×3 coupler","2015","Guangdianzi Jiguang/Journal of Optoelectronics Laser","26","6","","1125","1131","6","4","10.16136/j.joel.2015.06.0114","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-84937564730&doi=10.16136%2fj.joel.2015.06.0114&partnerID=40&md5=856a85023d2731ed1e8a8bce7a77fc2d","Article","Final","","Scopus","2-s2.0-84937564730"
"Parfomak P.W.","Parfomak, Paul W. (6508081953)","6508081953","Keeping America's pipelines safe and secure: Key issues for congress","2013","America's Pipelines: Safety and Security Issues","","","","1","44","43","1","","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-84892124206&partnerID=40&md5=326d837cfd5af44904787141ca58ef72","Book chapter","Final","","Scopus","2-s2.0-84892124206"
"Fakhravar D.; Khakzad N.; Reniers G.; Cozzani V.","Fakhravar, Donya (57195638564); Khakzad, Nima (22034603800); Reniers, Genserik (8634628000); Cozzani, Valerio (7003368787)","57195638564; 22034603800; 8634628000; 7003368787","Security vulnerability assessment of gas pipelines using Discrete-time Bayesian network","2017","Process Safety and Environmental Protection","111","","","714","725","11","55","10.1016/j.psep.2017.08.036","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-85029458601&doi=10.1016%2fj.psep.2017.08.036&partnerID=40&md5=7703504b747780088f893438ac210f83","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85029458601"
"Heinbaugh C.; Luz-Ricca E.; Shao H.","Heinbaugh, Clare (59238743800); Luz-Ricca, Emilio (57737130400); Shao, Huajie (54682349900)","59238743800; 57737130400; 54682349900","DATA-FREE ONE-SHOT FEDERATED LEARNING UNDER VERY HIGH STATISTICAL HETEROGENEITY","2023","11th International Conference on Learning Representations, ICLR 2023","","","","","","","25","","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-85199922625&partnerID=40&md5=916eb296c49f22dc8101bec874b4d45a","Conference paper","Final","","Scopus","2-s2.0-85199922625"
"van Merode H.","van Merode, Henry (56348962800)","56348962800","Continuous Integration (CI) and Continuous Delivery (CD): A Practical Guide to Designing and Developing Pipelines","2023","Continuous Integration (CI) and Continuous Delivery (CD): A Practical Guide to Designing and Developing Pipelines","","","","1","422","421","4","10.1007/978-1-4842-9228-0","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-105007854795&doi=10.1007%2f978-1-4842-9228-0&partnerID=40&md5=9efdb2fb855a0aacd9b87554bc4943da","Book","Final","","Scopus","2-s2.0-105007854795"
"Sahin O.; Demircin M.U.; Gevrekci M.","Sahin, Omer (57218436687); Demircin, Mehmet Umut (7004736234); Gevrekci, Murat (12782827200)","57218436687; 7004736234; 12782827200","Machine learning based automatic threat level assessment in fiber-optic Distributed Acoustic Sensing (DAS) intrusion detection system","2020","Proceedings of SPIE - The International Society for Optical Engineering","11413","","1141322","","","","1","10.1117/12.2558400","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-85089199419&doi=10.1117%2f12.2558400&partnerID=40&md5=6ee803ca51568e4aed33399be69e68b2","Conference paper","Final","","Scopus","2-s2.0-85089199419"
"Cheenepalli J.; Hastings J.D.; Ahmed K.M.; Fenner C.","Cheenepalli, Jayaprakashreddy (59757847200); Hastings, John D. (7202027108); Ahmed, Khandaker Mamun (59757912100); Fenner, Chad (58179367600)","59757847200; 7202027108; 59757912100; 58179367600","Advancing DevSecOps in SMEs: Challenges and Best Practices for Secure CI/CD Pipelines","2025","ISDFS 2025 - 13th International Symposium on Digital Forensics and Security","","","","","","","0","10.1109/ISDFS65363.2025.11011960","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-105008497733&doi=10.1109%2fISDFS65363.2025.11011960&partnerID=40&md5=638556613242b18ab54c61f2bc369fca","Conference paper","Final","","Scopus","2-s2.0-105008497733"
"Liu Z.; Zhang L.; Wei H.; Xiao Z.; Qiu Z.; Sun R.; Pang F.; Wang T.","Liu, Zhichao (55714622000); Zhang, Liang (36938523800); Wei, Heming (55750109900); Xiao, Zhelan (57222293404); Qiu, Zenghuan (57222296170); Sun, Ruoqi (57223168295); Pang, Fufei (12774528400); Wang, Tingyun (7405563844)","55714622000; 36938523800; 55750109900; 57222293404; 57222296170; 57223168295; 12774528400; 7405563844","Underwater acoustic source localization based on phase-sensitive optical time domain reflectometry","2021","Optics Express","29","9","","12880","12892","12","30","10.1364/OE.422255","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-85105042711&doi=10.1364%2fOE.422255&partnerID=40&md5=530a5c4b8979d7607588daee3b09caab","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85105042711"
"Zheng X.; Cui Y.; Bai Q.; Wang Y.; Liu X.; Jin B.","Zheng, Xuan (57204922444); Cui, Yuxiang (57221562996); Bai, Qing (56542742400); Wang, Yu (56674847500); Liu, Xin (59740025300); Jin, Baoquan (24465222500)","57204922444; 57221562996; 56542742400; 56674847500; 59740025300; 24465222500","Security pre-warning system of underground pipelines based on BOTDR","2021","Proceedings of SPIE - The International Society for Optical Engineering","11607","","116070K","","","","1","10.1117/12.2585489","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-85099484994&doi=10.1117%2f12.2585489&partnerID=40&md5=1840f2cec95b1b62123fdf2259bc7082","Conference paper","Final","","Scopus","2-s2.0-85099484994"
"Wu H.; Xu H.; Peng H.","Wu, Hongyan (55703714000); Xu, Haiyan (56770230900); Peng, HeKuo (57199875616)","55703714000; 56770230900; 57199875616","Application of the ARMA model in distributed fiber vibration sensing system","2015","Proceedings of SPIE - The International Society for Optical Engineering","9526","","95260L","","","","2","10.1117/12.2184705","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-84938943366&doi=10.1117%2f12.2184705&partnerID=40&md5=c80026fe87c77d3096bd022311b1e06a","Conference paper","Final","","Scopus","2-s2.0-84938943366"
"Lin W.-T.; Lou S.-Q.; Liang S.","Lin, Wen-Tai (55723138500); Lou, Shu-Qin (7201944656); Liang, Sheng (7402145668)","55723138500; 7201944656; 7402145668","Fiber-optic distributed vibration sensor for pipeline pre-alarm","2014","Applied Mechanics and Materials","684","","","235","239","4","11","10.4028/www.scientific.net/AMM.684.235","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-84921691555&doi=10.4028%2fwww.scientific.net%2fAMM.684.235&partnerID=40&md5=443e60680fcf62aa5701611daefe439a","Conference paper","Final","","Scopus","2-s2.0-84921691555"
"Rais M.","Rais, Muhammad (58195286900)","58195286900","Crude Oil Pipeline Security: Minimizing Illegal Tapping using “SOLIDS” System","2020","Scientific Contributions Oil and Gas","43","2","","59","67","8","0","10.29017/SCOG.43.2.59-67","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-85153527171&doi=10.29017%2fSCOG.43.2.59-67&partnerID=40&md5=8e6c1dba97516a32be954bf2012e1ac0","Article","Final","","Scopus","2-s2.0-85153527171"
"Audouin G.; Rupert S.; Popineau D.; Minto C.","Audouin, Gregoire (37123512800); Rupert, Serge (57191836140); Popineau, Dominique (55351810400); Minto, Chris (56448583200)","37123512800; 57191836140; 55351810400; 56448583200","An operator feedback on the installation of a pipeline intrusion detection system","2014","Society of Petroleum Engineers - 30th Abu Dhabi International Petroleum Exhibition and Conference, ADIPEC 2014: Challenges and Opportunities for the Next 30 Years","1","","","599","610","11","2","10.2118/171738-ms","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-84994067089&doi=10.2118%2f171738-ms&partnerID=40&md5=b86e22f72cbfbfb35db1db6c777b6c30","Conference paper","Final","","Scopus","2-s2.0-84994067089"
"Zhao Y.; Chen X.; Yan T.; Liu M.","Zhao, Yang (59209162700); Chen, Xiaoxu (59208640400); Yan, Tao (59208300100); Liu, Meili (59208818700)","59209162700; 59208640400; 59208300100; 59208818700","Prediction of Remaining Life of City Gas Pipelines Based on Decision Tree Classification Algorithm","2024","Lecture Notes in Electrical Engineering","1216 LNEE","","","96","103","7","0","10.1007/978-981-97-4121-2_13","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-85198458644&doi=10.1007%2f978-981-97-4121-2_13&partnerID=40&md5=930372fd3aec4d78c25458b2fc231143","Conference paper","Final","","Scopus","2-s2.0-85198458644"
"Horan C.; Lennon R.G.","Horan, Conor (59362914500); Lennon, Ruth G. (24070832200)","59362914500; 24070832200","Continuous Pipeline Security with Azure DevOps","2023","2023 Cyber Research Conference - Ireland, Cyber-RCI 2023","","","","","","","0","10.1109/Cyber-RCI59474.2023.10671407","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-85206100410&doi=10.1109%2fCyber-RCI59474.2023.10671407&partnerID=40&md5=e07f4797e3f263579c2108ce9561e58c","Conference paper","Final","","Scopus","2-s2.0-85206100410"
"Kosarevskyi B.; Tetskyi A.","Kosarevskyi, Bohdan (60005097900); Tetskyi, Artem (57202894656)","60005097900; 57202894656","Using Secure Infrastructure of Unmanned Intelligent Systems to Support Mine Clearance","2025","Lecture Notes in Networks and Systems","1473 LNNS","","","499","508","9","0","10.1007/978-3-031-94845-9_41","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-105011035669&doi=10.1007%2f978-3-031-94845-9_41&partnerID=40&md5=22ffdffd33bdbaf3164610df32187f8d","Conference paper","Final","","Scopus","2-s2.0-105011035669"
"Chen C.; Li C.; Reniers G.; Yang F.","Chen, Chao (56677231700); Li, Changjun (55695990100); Reniers, Genserik (8634628000); Yang, Fuqiang (35775019200)","56677231700; 55695990100; 8634628000; 35775019200","Safety and security of oil and gas pipeline transportation: A systematic analysis of research trends and future needs using WoS","2021","Journal of Cleaner Production","279","","123583","","","","209","10.1016/j.jclepro.2020.123583","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-85089951559&doi=10.1016%2fj.jclepro.2020.123583&partnerID=40&md5=92b1c9dc4a148f5790b7cf91f887bbb9","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85089951559"
"Bašić M.; Morić Z.; Redžepagić J.; Torbar J.","Bašić, Matej (58130717700); Morić, Zlatan (56002032300); Redžepagić, Jasmin (56941879400); Torbar, Josip (59559396000)","58130717700; 56002032300; 56941879400; 59559396000","Securing the development and delivery of modern applications","2025","Edelweiss Applied Science and Technology","9","1","","421","430","9","0","10.55214/25768484.v9i1.4153","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-85217964484&doi=10.55214%2f25768484.v9i1.4153&partnerID=40&md5=0272defcba67da07f40300407bf87c5c","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85217964484"
"Zhou J.; Zhu J.; Liang G.; Ma J.; He J.; Du P.; Ye Z.","Zhou, Jun (57190343729); Zhu, Jiaxing (59134167700); Liang, Guangchuan (57189244346); Ma, Junjie (58167558800); He, Jiayi (58972994400); Du, Penghua (58745653700); Ye, Zhanpeng (59134959200)","57190343729; 59134167700; 57189244346; 58167558800; 58972994400; 58745653700; 59134959200","Three-layer and robust planning models to evaluate the strategies of defense layer, attack layer, and operation layer for optimal protection in natural gas pipeline network","2024","Reliability Engineering and System Safety","249","","110196","","","","8","10.1016/j.ress.2024.110196","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-85193631437&doi=10.1016%2fj.ress.2024.110196&partnerID=40&md5=7f7b10bfb70c7f4979b605a1223701b3","Article","Final","","Scopus","2-s2.0-85193631437"
"Han G.; Gong A.; Wang H.; Lin C.; Garcia M.M.; Peng Y.","Han, Guangjie (7202923237); Gong, Aini (57226192941); Wang, Hao (57163245400); Lin, Chuan (56158751000); Garcia, Miguel Martinez (57192540925); Peng, Yan (36617766500)","7202923237; 57226192941; 57163245400; 56158751000; 57192540925; 36617766500","Anonymous Cluster-Based Source Location Protection in Underwater Pipeline Monitoring Operations","2021","IEEE Transactions on Vehicular Technology","70","12","","13377","13389","12","11","10.1109/TVT.2021.3124492","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-85118621843&doi=10.1109%2fTVT.2021.3124492&partnerID=40&md5=49296954a700415932d40f870bc7986d","Article","Final","","Scopus","2-s2.0-85118621843"
"Rowell R.W.","Rowell, Richard W. (7006504120)","7006504120","Pipeline Security with Restrained Joint Ductile Iron Pipe during Seismic Events","2016","Pipelines 2016: Out of Sight, Out of Mind, Not Out of Risk - Proceedings of the Pipelines 2016 Conference","","","","1899","1908","9","0","10.1061/9780784479957.177","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-84983249692&doi=10.1061%2f9780784479957.177&partnerID=40&md5=99104a23cfb8a8ff678df710a05409e0","Conference paper","Final","","Scopus","2-s2.0-84983249692"
"Faizulin O.; Nazarkevych M.","Faizulin, Oleh (58066695800); Nazarkevych, Mariia (26868037300)","58066695800; 26868037300","Enterprise Kubernetes Method Modification at S&P 500 Companies","2025","CEUR Workshop Proceedings","3991","","","56","69","13","0","","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-105010678171&partnerID=40&md5=ae12b88a5e19a72a44eb47c9a7d2af6d","Conference paper","Final","","Scopus","2-s2.0-105010678171"
"Thamilvalluvan B.; Bennet M.A.; Gokulakrishnan K.; Harrison S.; Shanmugam R.; Mangaram B.","Thamilvalluvan, B. (57191839523); Bennet, M. Anto (57210316009); Gokulakrishnan, K. (58146155900); Harrison, S. (57195421557); Shanmugam, R. (57197361077); Mangaram, B. (57195420909)","57191839523; 57210316009; 58146155900; 57195421557; 57197361077; 57195420909","Detection and removal of dust particles in pipelines using 3-d mems","2017","International Journal on Smart Sensing and Intelligent Systems","2017","Specialissue","","147","162","15","0","10.21307/ijssis-2017-242","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-85028020093&doi=10.21307%2fijssis-2017-242&partnerID=40&md5=433940841987ff5b4937ac89c3b473e8","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85028020093"
"An Y.; Feng H.; Zhang J.; Feng X.; Zeng Z.; Jin S.","An, Yang (36092510400); Feng, Hao (35242210000); Zhang, Jingchuan (34874312700); Feng, Xin (58362237000); Zeng, Zhoumo (7402647223); Jin, Shijiu (7401822907)","36092510400; 35242210000; 34874312700; 58362237000; 7402647223; 7401822907","Phase sensitive optical time domin reflectometer based on two-beam interference","2013","Guangxue Xuebao/Acta Optica Sinica","33","7","0706005","","","","12","10.3788/AOS201333.0706005","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-84882787685&doi=10.3788%2fAOS201333.0706005&partnerID=40&md5=5de09d941c277e47deb03d318e8a903d","Article","Final","","Scopus","2-s2.0-84882787685"
"Zhang J.; Guo W.; Li H.","Zhang, Jie (56123157200); Guo, Wei (57214673981); Li, Haiyang (57214672979)","56123157200; 57214673981; 57214672979","Effects of backfill soil on pipeline’s mechanical response subjected to perilous rock impact","2020","Engineering Review","40","1","","25","31","6","1","10.30765/er.40.1.04","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-85078956472&doi=10.30765%2fer.40.1.04&partnerID=40&md5=e8c558522bf9922665b8d486fd203808","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85078956472"
"Zhang J.; Wen X.; Li W.; Lu H.; Liu Y.","Zhang, Jingzhuo (56338580400); Wen, Xishan (55711104900); Li, Wei (59639517800); Lu, Hailiang (55624703400); Liu, Yu (56115929900)","56338580400; 55711104900; 59639517800; 55624703400; 56115929900","Analysis of electromagnetic interference effects on gas pipelines due to a nearby parallel UHV transmission line","2015","Lecture Notes in Electrical Engineering","334","","","441","447","6","2","10.1007/978-3-319-13707-0_48","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-84938694707&doi=10.1007%2f978-3-319-13707-0_48&partnerID=40&md5=c4146383991f3f83d084e9b4ed83ea98","Article","Final","","Scopus","2-s2.0-84938694707"
"Coty S.","Coty, Stephen (56108402000)","56108402000","Preventing network security threats at sub-contractor level: A new approach to pipeline security","2014","Pipeline and Gas Journal","241","2","","","","3","0","","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-84898015377&partnerID=40&md5=eca079bb94d4fa350d826ff9d05e9040","Article","Final","","Scopus","2-s2.0-84898015377"
"He C.; Ruan L.; Wu B.","He, Cunfu (55649046100); Ruan, Li (55965455600); Wu, Bin (56571767300)","55649046100; 55965455600; 56571767300","Modeling and simulation of pipeline security monitoring system based on line-structure sagnac interferometer with 3×3 coupler","2015","Transactions of Nanjing University of Aeronautics and Astronautics","32","3","","312","317","5","0","","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-84937778166&partnerID=40&md5=f1c96855d02d7584ef36fdb256d39fa9","Article","Final","","Scopus","2-s2.0-84937778166"
"Dhabliya D.; Rizvi N.; Dhablia A.; Sridhar A.P.; Kale S.D.; Padhi D.","Dhabliya, Dharmesh (57222241738); Rizvi, Nuzhat (59454914700); Dhablia, Anishkumar (57956631000); Sridhar, A. Phani (59454743300); Kale, Sunil D. (57202708483); Padhi, Dipanjali (58950168800)","57222241738; 59454914700; 57956631000; 59454743300; 57202708483; 58950168800","Securing Machine Learning Ecosystems: Strategies for Building Resilient Systems","2024","E3S Web of Conferences","491","","02033","","","","2","10.1051/e3sconf/202449102033","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-85188306821&doi=10.1051%2fe3sconf%2f202449102033&partnerID=40&md5=d961ec613ae457b5254784346ae22699","Conference paper","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85188306821"
"Awaysheh F.M.","Awaysheh, Feras M. (57195066863)","57195066863","From the Cloud to the Edge Towards a Distributed and Light Weight Secure Big Data Pipelines for IoT Applications","2022","Trust, Security and Privacy for Big Data","","","","50","68","18","11","10.1201/9781003194538-3","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-85173507524&doi=10.1201%2f9781003194538-3&partnerID=40&md5=febe74f4ba6b4b8663329f826ca13c39","Book chapter","Final","","Scopus","2-s2.0-85173507524"
"Shi Y.; Feng H.; Zeng Z.","Shi, Yi (56267008200); Feng, Hao (35242210000); Zeng, Zhoumo (7402647223)","56267008200; 35242210000; 7402647223","A long distance phase-sensitive optical time domain reflectometer with simple structure and high locating accuracy","2015","Sensors (Switzerland)","15","9","","21957","21970","13","48","10.3390/s150921957","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-84941006171&doi=10.3390%2fs150921957&partnerID=40&md5=bdac2fd76cb482891986ef4186a30338","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-84941006171"
"Salaudeen M.B.; Emmanuel P.M.","Salaudeen, Mohammed Bashir (58999303000); Emmanuel, Precious Muhammed (57404787200)","58999303000; 57404787200","The growth effect of crude oil revenue and capital investment: The Nigerian perspective","2024","OPEC Energy Review","48","4","","181","195","14","2","10.1111/opec.12303","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-85191166514&doi=10.1111%2fopec.12303&partnerID=40&md5=65afd4a4fcff8cfc4d6d3d3a6380ff6b","Article","Final","","Scopus","2-s2.0-85191166514"
"Peng F.; Wu H.; Jia X.-H.; Rao Y.-J.; Wang Z.-N.; Peng Z.-P.","Peng, Fei (57207013574); Wu, Han (55703726800); Jia, Xin-Hong (35215001900); Rao, Yun-Jiang (57203073507); Wang, Zi-Nan (50961772700); Peng, Zheng-Pu (56114230100)","57207013574; 55703726800; 35215001900; 57203073507; 50961772700; 56114230100","Ultra-long high-sensitivity Φ -OTDR for high spatial resolution intrusion detection of pipelines","2014","Optics Express","22","11","","13804","13810","6","404","10.1364/OE.22.013804","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-84901842780&doi=10.1364%2fOE.22.013804&partnerID=40&md5=949938b22af02aea21d6773d5b9c1426","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-84901842780"
"Idachaba F.E.","Idachaba, Francis Enejo (36544772100)","36544772100","Exception based monitoring of oil and gas pipelines using VTOL type-unmanned aerial vehicles (UAV)","2014","38th Nigeria Annual International Conference and Exhibition, NAICE 2014 - Africa's Energy Corridor: Opportunities for Oil and Gas Value Maximization Through Integration and Global Approach","2","","","1445","1451","6","1","10.2118/172471-ms","https://scopus.ufro.elogim.com/inward/record.uri?eid=2-s2.0-84919382995&doi=10.2118%2f172471-ms&partnerID=40&md5=babd71698e5711e09d0fbacaf327c6db","Conference paper","Final","","Scopus","2-s2.0-84919382995"
